Clean_NNAJ_actors|Filename|Year
Comisión Lntersectorial Para La Prevención Y Utilización|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018
Daicma|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018
Gobernación Del Departamento Del Meta|AT N° 007-18 MET-Puerto Lleras, Puerto Rico y Vista Hermosa.pdf|2018
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Constru|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Juntas De A|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Participación Efectiva De Víctimas|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Autodefensas Campesinas Del Magdalena Medio|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Autodefensas Campesinas Del Magdalena Medio|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Ejército De Liberación Nacional|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Agencia De Desarrollo Rural|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Unidad Administrativa Para La Atención|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Alcaldías Municipales De Guaduas|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Alcaldías De Guaduas|AT N° 008-18 CUN-Chaguaní y Guaduas.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 009-18 ANT-Cáceres.pdf|2018
Caparrapos|AT N° 009-18 ANT-Cáceres.pdf|2018
Caparrapos|AT N° 009-18 ANT-Cáceres.pdf|2018
Consejo De Seguridad De La Onu|AT N° 009-18 ANT-Cáceres.pdf|2018
Grupo Armado Ilegal|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018
Grupo Armado Ilegal|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018
Ejército De Liberación Nacional|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018
Ejército De Liberación Nacional|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018
Ejército De Liberación Nacional|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018
Ejército De Liberación Nacional|AT N° 011-18 ANT-Vigía del Fuerte y CHO-Bojayá - Medio Atrato.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 012-18 CHO-Rio Quito.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 012-18 CHO-Rio Quito.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 012-18 CHO-Rio Quito.pdf|2018
Autodefensas Gaitanistas De Colombia Bloq Ue Jairo|AT N° 012-18 CHO-Rio Quito.pdf|2018
Águilas Negras|AT N° 016-18 ANT-Yarumal.pdf|2018
Autodefensas Unidas De Colombia|AT N° 016-18 ANT-Yarumal.pdf|2018
Águilas Negras|AT N° 016-18 ANT-Yarumal.pdf|2018
Urabeños|AT N° 016-18 ANT-Yarumal.pdf|2018
Autodefensas Gaitanistas|AT N° 016-18 ANT-Yarumal.pdf|2018
Alcaldías De Carmen Del Darién|AT N° 019-18.pdf|2018
Bandas Criminales|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Grupos Posdesmovilización|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Niñas Adolescentes|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Victimas|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Comerciantes|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Autodefensas Unidas De Colombia|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Autodefensas Unidas De Colombia|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Autodefensas Unidas De Colombia|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Bandas Criminales|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Defeº Nsoría Nombre|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Agencia Nacional Para La Reintegración|AT N° 020-18 ATL- Barranquilla, Galapa, Malambo, Puerto Colombia y Soledad.pdf|2018
Ejército De Liberación Nacional|AT N° 021-18 ANT-Yondó BOL-Cantagallo.pdf|2018
Meta Vaupes Vfchada Acto|AT N° 022-18 Riesgo Electoral firmada.pdf|2018
Artefacto|AT N° 022-18 Riesgo Electoral firmada.pdf|2018
Ejército De Liberación Nacional|AT N° 022-18 Riesgo Electoral firmada.pdf|2018
Ejército De Liberación Nacional|AT N° 022-18 Riesgo Electoral firmada.pdf|2018
Autodefensas Unidas De Colombia|AT N° 022-18 Riesgo Electoral firmada.pdf|2018
Pacto Político Nacional|AT N° 022-18 Riesgo Electoral firmada.pdf|2018
Nación|AT N° 022-18 Riesgo Electoral firmada.pdf|2018
Constru|AT N° 026-18 Líderes y Defensores DDHH_bajaresolución.pdf|2018
Asociación Nacional De Jóvenes Y Estudiantes De Colombia|AT N° 026-18 Líderes y Defensores DDHH_bajaresolución.pdf|2018
Anjeco|AT N° 026-18 Líderes y Defensores DDHH_bajaresolución.pdf|2018
Asf|AT N° 026-18 Líderes y Defensores DDHH_bajaresolución.pdf|2018
Alcaldías De Carmen Del Darién|AT N° 027-18 CHO-Carmen del Darién.pdf|2018
Grupos Posdesmovilización|AT N° 028-18 ANT-Tarazá.pdf|2018
Unidad Para Atención|AT N° 028-18 ANT-Tarazá.pdf|2018
Grupos Posdesmovilización|AT N° 030-18 Bogotá DC.pdf|2018
Paisas|AT N° 030-18 Bogotá DC.pdf|2018
Autodefensas Unidas De Colombia|AT N° 030-18 Bogotá DC.pdf|2018
Pueblo|AT N° 030-18 Bogotá DC.pdf|2018
Ciudad Bolíva|AT N° 030-18 Bogotá DC.pdf|2018
Comisión Lntersectorial|AT N° 030-18 Bogotá DC.pdf|2018
Cordialmente|AT N° 030-18 Bogotá DC.pdf|2018
Grupo Armado Ilegal|AT N° 031-18 ANT-Caucasia.pdf|2018
Grupo Armado Ilegal|AT N° 031-18 ANT-Caucasia.pdf|2018
Institución Educativa De Buenos Aires|AT N° 033-18 VAU-Pacoa.pdf|2018
Frente Primero De Las Farc|AT N° 033-18 VAU-Pacoa.pdf|2018
Frente Primero De Las Farc|AT N° 033-18 VAU-Pacoa.pdf|2018
Precisamente|AT N° 033-18 VAU-Pacoa.pdf|2018
Frente Primero|AT N° 033-18 VAU-Pacoa.pdf|2018
Frente Primero|AT N° 033-18 VAU-Pacoa.pdf|2018
Al Instituto Colombiano Del Bienestar Familiar|AT N° 033-18 VAU-Pacoa.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 035-18 CAU-Miranda.pdf|2018
Ejército De Liberación Nacional|AT N° 035-18 CAU-Miranda.pdf|2018
Ejército De Liberación Nacional|AT N° 035-18 CAU-Miranda.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 036-18 HUI-Neiva, Baraya, Tello.pdf|2018
Ejército De Liberación Nacional|AT N° 040-18 NOR-Tibú.pdf|2018
Ejército De Liberación Nacional|AT N° 040-18 NOR-Tibú.pdf|2018
Ejército De Liberación Nacional|AT N° 040-18 NOR-Tibú.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 042-18 MET-La Macarena low.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 042-18 MET-La Macarena low.pdf|2018
Autodefensas Unidas De Colombia|AT N° 042-18 MET-La Macarena low.pdf|2018
Nasa|AT N° 042-18 MET-La Macarena low.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 042-18 MET-La Macarena low.pdf|2018
Auc Autodefensas Gaitanistas De Colombia|AT N° 042-18 MET-La Macarena low.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 042-18 MET-La Macarena low.pdf|2018
Nasa|AT N° 042-18 MET-La Macarena low.pdf|2018
Unelemento|AT N° 042-18 MET-La Macarena low.pdf|2018
Unidad Para La Atención Yreparación Integral|AT N° 042-18 MET-La Macarena low.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 042-18 MET-La Macarena low.pdf|2018
Autodefensas Unidas De Colombia Autodefensas Gaitanistas De Colombia|AT N° 042-18 MET-La Macarena low.pdf|2018
Agencia De Renovación Del Territorio|AT N° 042-18 MET-La Macarena low.pdf|2018
Comisión Intersectorial Para La Prevención Y Utilización|AT N° 042-18 MET-La Macarena low.pdf|2018
Corporación Para El Desarrollo Sostenible Del Área De Manejo Especial De La Macarena|AT N° 042-18 MET-La Macarena low.pdf|2018
Comisión De Búsqueda De Personas Desaparecidas|AT N° 042-18 MET-La Macarena low.pdf|2018
Superintendencia De Notariado|AT N° 042-18 MET-La Macarena low.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 042-18 MET-La Macarena.pdf|2018
Nacional|AT N° 042-18 MET-La Macarena.pdf|2018
Gaitanistas|AT N° 042-18 MET-La Macarena.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 042-18 MET-La Macarena.pdf|2018
Oficina Delalto Comisionado|AT N° 042-18 MET-La Macarena.pdf|2018
Dirección Para Laacción Integral Contra Minas Antipersonal|AT N° 042-18 MET-La Macarena.pdf|2018
Ilícitos|AT N° 042-18 MET-La Macarena.pdf|2018
Agencia Para Lareincorporación Yla Normalización|AT N° 042-18 MET-La Macarena.pdf|2018
Departamento Administrativo Para Laprosperidad Social|AT N° 042-18 MET-La Macarena.pdf|2018
Corporación Para Eldesarrollo Sostenible Del Área Demanejo Especial Dela Macarena|AT N° 042-18 MET-La Macarena.pdf|2018
Unidad Para La Atención Yreparación Integral|AT N° 042-18 MET-La Macarena.pdf|2018
Alinstituto Colombiano|AT N° 042-18 MET-La Macarena.pdf|2018
Grupo Armado Ilegal|AT N° 044-18 NAR-Tumaco.pdf|2018
Quejuambí Feliciana|AT N° 044-18 NAR-Tumaco.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 044-18 NAR-Tumaco.pdf|2018
Guerrillas Unidas Del Pacífico|AT N° 044-18 NAR-Tumaco.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 044-18 NAR-Tumaco.pdf|2018
Guerrillas Campesinas Del Norte|AT N° 044-18 NAR-Tumaco.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 044-18 NAR-Tumaco.pdf|2018
Fos|AT N° 044-18 NAR-Tumaco.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 044-18 NAR-Tumaco.pdf|2018
Ejército De Liberación Nacional|AT N° 044-18 NAR-Tumaco.pdf|2018
Coordinac Ión|AT N° 044-18 NAR-Tumaco.pdf|2018
Sierra|AT N° 045-18 MAG-Cienaga, Santa Marta LAG-Dibulla.pdf|2018
Constru|AT N° 045-18 MAG-Cienaga, Santa Marta LAG-Dibulla.pdf|2018
Alcaldías De San Marta|AT N° 045-18 MAG-Cienaga, Santa Marta LAG-Dibulla.pdf|2018
Ins Tituto Colombiano Para El Bienestar Familiar|AT N° 045-18 MAG-Cienaga, Santa Marta LAG-Dibulla.pdf|2018
Constru|AT N° 046-18 San Andrés Islas.pdf|2018
Accion|AT N° 047-18 MET-Uribe.pdf|2018
Grupo Armado Ilegal|AT N° 048-18 ANT-Apartadó.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 048-18 ANT-Apartadó.pdf|2018
Constru|AT N° 048-18 ANT-Apartadó.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 048-18 ANT-Apartadó.pdf|2018
Grupo Armado Ilegal|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Autodefensas Unidas De Colombia|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Bloque Meta|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Instituto C Olombiano De Bienestar Familiar|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Departamento Administra Tivo Para La Prosperidad Social|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Unidad Administrativa Especial Para La Atenc|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Registro Comisión Intersectorial Para La Prevención Y Utilización De Niños|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Equidad De La Mujer|AT N° 049-18 MET-Acacias, Granada y San Martín.pdf|2018
Frente Unido Del Pacífico|AT N° 050-18 CAU-Lopez de Micay y VAL-Buenaventura.pdf|2018
Alcaldías De|AT N° 050-18 CAU-Lopez de Micay y VAL-Buenaventura.pdf|2018
Fuerza Alter Nativa Revolucionaria Del Común|AT N° 052-18 ANT-Remedios y Segovia.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 052-18 ANT-Remedios y Segovia.pdf|2018
Gua Rdia|AT N° 052-18 ANT-Remedios y Segovia.pdf|2018
Jóvenes Y Adolescentes|AT N° 053-18 ANT-Apartadó, Arboletes, Carepa, Chigorodó, Mutatá, Necoclí, San Juan de Urabá, San Pedro de Urabá y Turbo.pdf|2018
Nnja|AT N° 053-18 ANT-Apartadó, Arboletes, Carepa, Chigorodó, Mutatá, Necoclí, San Juan de Urabá, San Pedro de Urabá y Turbo.pdf|2018
Constru|AT N° 054-18 PUT-San Miguel y Valle del Guzmuez.pdf|2018
Mafia|AT N° 054-18 PUT-San Miguel y Valle del Guzmuez.pdf|2018
Movimiento Independiente Revolucionario De Colombia|AT N° 054-18 PUT-San Miguel y Valle del Guzmuez.pdf|2018
Institución Educativa Rural El Afilador|AT N° 054-18 PUT-San Miguel y Valle del Guzmuez.pdf|2018
Rastrojos|AT N° 055-18 VAL-Roldanillo.pdf|2018
Unión|AT N° 055-18 VAL-Roldanillo.pdf|2018
Consejos De Seguridad|AT N° 056-18 BOL-Tiquisio.pdf|2018
Ejército De Liberación Nacional|AT N° 056-18 BOL-Tiquisio.pdf|2018
Alertas Tempranas De La Defensoría Del Pueblo|AT N° 056-18 BOL-Tiquisio.pdf|2018
Ejército De Liberación Nacional|AT N° 056-18 BOL-Tiquisio.pdf|2018
Al Instituto Colo Mbiano|AT N° 056-18 BOL-Tiquisio.pdf|2018
De Cero|AT N° 056-18 BOL-Tiquisio.pdf|2018
Grupo Armado Ilegal|AT N° 057-18 GUAV-Miraflores.pdf|2018
Especial|AT N° 057-18 GUAV-Miraflores.pdf|2018
L Frente|AT N° 057-18 GUAV-Miraflores.pdf|2018
Frente Primer|AT N° 057-18 GUAV-Miraflores.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 057-18 GUAV-Miraflores.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 057-18 GUAV-Miraflores.pdf|2018
Frente Primero|AT N° 057-18 GUAV-Miraflores.pdf|2018
Frente Primero De Las Farc|AT N° 057-18 GUAV-Miraflores.pdf|2018
Comisión Intersectorial Para La Prevención De Reclutamiento|AT N° 057-18 GUAV-Miraflores.pdf|2018
Al Ministerio De Trabajo|AT N° 057-18 GUAV-Miraflores.pdf|2018
Constru|AT N° 059-18 ANT-Medellín.pdf|2018
Subcomité De Prevención Y Protección|AT N° 059-18 ANT-Medellín.pdf|2018
Grupo Armado Ilegal|AT N° 061-18 SUC-San Onofre.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 061-18 SUC-San Onofre.pdf|2018
Constru|AT N° 061-18 SUC-San Onofre.pdf|2018
Juntas De Acciones|AT N° 061-18 SUC-San Onofre.pdf|2018
Comité Intersectorial|AT N° 061-18 SUC-San Onofre.pdf|2018
Comité Interinstitucional|AT N° 061-18 SUC-San Onofre.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 061-18 SUC-San Onofre.pdf|2018
Instituto Nacional De Ciencias Forenses|AT N° 061-18 SUC-San Onofre.pdf|2018
Escnna En El Municipio|AT N° 061-18 SUC-San Onofre.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 062-18 CUN-Soacha.pdf|2018
Ejército Del Pueblo|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Unidas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Unidas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Grupos Posdesmovilización|AT N° 062-18 CUN-Soacha.pdf|2018
Grupos Posdesmovilización|AT N° 062-18 CUN-Soacha.pdf|2018
Rastrojos|AT N° 062-18 CUN-Soacha.pdf|2018
Rastrojos|AT N° 062-18 CUN-Soacha.pdf|2018
Paisas|AT N° 062-18 CUN-Soacha.pdf|2018
Paisas|AT N° 062-18 CUN-Soacha.pdf|2018
Águilas Negras|AT N° 062-18 CUN-Soacha.pdf|2018
Águilas Negras|AT N° 062-18 CUN-Soacha.pdf|2018
Águilas Negras|AT N° 062-18 CUN-Soacha.pdf|2018
Grupos Sociales Vulnerables|AT N° 062-18 CUN-Soacha.pdf|2018
Colectivos|AT N° 062-18 CUN-Soacha.pdf|2018
Participación Efectiva De Víctimas De Soacha|AT N° 062-18 CUN-Soacha.pdf|2018
Fundación Multicultural Educativa Y Artística Comuna 4|AT N° 062-18 CUN-Soacha.pdf|2018
Oasis Consejo De Organizaciones Afrodescendientes|AT N° 062-18 CUN-Soacha.pdf|2018
Fundación El Refugio Comuna 4|AT N° 062-18 CUN-Soacha.pdf|2018
Asociación Nacional De Afrocolombianos Desplazados Organización|AT N° 062-18 CUN-Soacha.pdf|2018
Organización Ubicación|AT N° 062-18 CUN-Soacha.pdf|2018
Red Afrocolombiana Comuna 1 Compartir Consejo De Organizaciones Afrodescendientes De Soacha|AT N° 062-18 CUN-Soacha.pdf|2018
Asociación De Mujeres Víctimas De Violencia Sexual Comuna 1 Compartir Consejo De Organizaciones Afrodescendientes|AT N° 062-18 CUN-Soacha.pdf|2018
Colombia Renacer Afro Ciudadela Sucre Consejo De Organizaciones Afrodescendientes De|AT N° 062-18 CUN-Soacha.pdf|2018
Fundación Liga De Mujeres Afro Comuna 4 La Isla Consejo De Organizaciones Afrodescendientes|AT N° 062-18 CUN-Soacha.pdf|2018
Fundación De Conciliadores En Equidad Comuna|AT N° 062-18 CUN-Soacha.pdf|2018
Asociación De Marroquinería Afro Comuna 1 Compartir Consejo De Organizaciones Afrodescendientes|AT N° 062-18 CUN-Soacha.pdf|2018
Club Deportivo Corintio|AT N° 062-18 CUN-Soacha.pdf|2018
Afrodes|AT N° 062-18 CUN-Soacha.pdf|2018
Comuna 4 Cazucá Consejo De Organizaciones Afrodescendientes De Soacha|AT N° 062-18 CUN-Soacha.pdf|2018
Asociación Nacional De Afrocolombianos Desplazados Club|AT N° 062-18 CUN-Soacha.pdf|2018
Fundación Juvenil Pacific Flow Star Comuna 4 Cazucá Consejo De Organizaciones Afrodescendientes|AT N° 062-18 CUN-Soacha.pdf|2018
Oasis Consejo De Organizaciones Organización|AT N° 062-18 CUN-Soacha.pdf|2018
Organización Ubicación|AT N° 062-18 CUN-Soacha.pdf|2018
Consejo De Organizaciones Afrodescendientes De|AT N° 062-18 CUN-Soacha.pdf|2018
Comuna 4 Los Robles Consejo De Organizaciones Afrodescendientes|AT N° 062-18 CUN-Soacha.pdf|2018
Fundación Enseñanza Integral Comuna 4 Oasis Consejo De Organizaciones Afrodescendientes|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Unidas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Unidas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Gaitanistas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Águilas Negras’ Y ‘Los Rastrojos|AT N° 062-18 CUN-Soacha.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Unidas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Juntas Administradoras Locales|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Unidas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Urabeños|AT N° 062-18 CUN-Soacha.pdf|2018
Bienes Muebles|AT N° 062-18 CUN-Soacha.pdf|2018
Torturavinculación|AT N° 062-18 CUN-Soacha.pdf|2018
Nnaminas|AT N° 062-18 CUN-Soacha.pdf|2018
Adolescentes Tal|AT N° 062-18 CUN-Soacha.pdf|2018
Pueblo Cabe|AT N° 062-18 CUN-Soacha.pdf|2018
Comuna Seis De San Humberto|AT N° 062-18 CUN-Soacha.pdf|2018
Tarjeta De Identidad|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Unidas De Colombia|AT N° 062-18 CUN-Soacha.pdf|2018
Autodefensas Gaitani|AT N° 062-18 CUN-Soacha.pdf|2018
Urabeños|AT N° 062-18 CUN-Soacha.pdf|2018
Águilas Negras|AT N° 062-18 CUN-Soacha.pdf|2018
Departamento Nacional De Planeación|AT N° 062-18 CUN-Soacha.pdf|2018
Servicio Nacional|AT N° 062-18 CUN-Soacha.pdf|2018
Oficina D El Alto Comisionado Para La Paz|AT N° 062-18 CUN-Soacha.pdf|2018
Comisión Intersectorial Para La Prevención Y Utilización|AT N° 062-18 CUN-Soacha.pdf|2018
Departamento Administra Tivo Para La Prosperidad Social|AT N° 062-18 CUN-Soacha.pdf|2018
Comisión De Búsqueda De Personas Desaparecidas|AT N° 062-18 CUN-Soacha.pdf|2018
Superintendencia De Notariado Y Registro|AT N° 062-18 CUN-Soacha.pdf|2018
Grupo Armado Ilegal|AT N° 063-18 HUI-Algeciras.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 063-18 HUI-Algeciras.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 063-18 HUI-Algeciras.pdf|2018
Grupo Armado Ilegal|AT N° 064-18 ANT-Murindó.pdf|2018
Autodefensas Unidas De Colombia|AT N° 064-18 ANT-Murindó.pdf|2018
Gaitanistas De Colombia|AT N° 064-18 ANT-Murindó.pdf|2018
Clan Del Golfo|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Frentes 1|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Autodefensas Unidas De Colombia|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Niñas Jóvenes Y|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Autodefensas Unidas De Colombia|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Fuerzas Armadas Revolucionarias - Ejército Del Pueblo|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Autodefensas Unidas De Colombia|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Clan|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Red Nacional De Información De La Unidad Para Las Víctimas|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
Autodefensas Unidas De Colombia|AT N° 065-18 MET-Mapiripan y Puerto Concordia.pdf|2018
